codigo,pagina,descripcion,campos_sin_informar
0001,1,PELLA AÑEJA DEL MIO,"cod_barras, gluten, lactosa"
0003,1,PIEL DE POLLO,cod_barras
0052,1,"CHORIZO PINCHO 1,5 KG APROX. DEL MIO",cod_barras
0053,2,CHORIZO PICANTE HRA. DEL MÍO,cod_barras
0072,2,1/2 CAÑA DE LOMO REDONDA DEL MIO,"gluten, lactosa, observaciones"
0449,2,EMBUTIDO DE POLLO DEL MIO,"gluten, lactosa"
1240,3,HUESOS DE QUIJADA IBERICO,"cod_barras, gluten, lactosa"
1241,3,HUESOS DE TESTUZO IBERICO,"cod_barras, gluten, lactosa"
2003,3,1/2 FBRE. LOMO CDO. ADB. C/2P DEL MIO,observaciones
2003,4,1/2 FBRE. LOMO CDO. ADB. C/2P DEL MIO,observaciones
21446,4,SALAMI EXTRA BLANCO,"gluten, lactosa, observaciones"
21446,4,SALAMI EXTRA BLANCO,"gluten, lactosa, observaciones"
3047,5,LOTE: 3047,"cod_barras, gluten, lactosa, observaciones"
4315,5,SALCHICHON CASERO PRIMERA,"cod_barras, gluten, lactosa, observaciones"
4316,5,CHORIZO ROSARIO OREADO DEL MÍO,"cod_barras, gluten, lactosa, observaciones"
4998,6,VIOLINES 8 PACK DE 4 UN DEL MIO,"gluten, lactosa, observaciones"
50537,6,1/2 SALCHICHON TUNEL PMTA. PROLONGO,"gluten, lactosa, observaciones"
5076,6,SALCHICHON DE AJO PROLONGO,"cod_barras, gluten, lactosa, observaciones"
5811,7,SALCHICHON EXTRA DE PAVO DEL MIO,cod_barras
5814,7,SALCHICHON VELA EXTRA AL VACIO DEL MÍO,cod_barras
6701,8,FIAMBRE MAGRETA CDA. ADOBADA DEL MIO,"cod_barras, gluten, lactosa, observaciones"
6702,8,FIAMBRE MAGRETA CDA. BLANCA DEL MIO,"gluten, lactosa, observaciones"
6703,8,BACON MOLDE MEDIOS DEL MIO,"cod_barras, gluten, lactosa, observaciones"
6703,9,BACON MOLDE MEDIOS DEL MIO,"cod_barras, gluten, lactosa, observaciones"
6711,9,"CODILLOS BLANCOS ""DEL MIO""","cod_barras, gluten, lactosa, observaciones"
6712,9,"AÑEJO LOMITO CORTADO ""DEL MIO""","cod_barras, gluten, lactosa, observaciones"
6713,10,"CORTEZA AÑEJA CORT. FINO ""DEL MIO""","cod_barras, gluten, lactosa, observaciones"
6890,10,CHORIZO EXTRA ROJO VELA AL VACIO DEL MIO,"gluten, lactosa, observaciones"
6891,10,CHORIZO EXTRA BLANCO VELA AL VACIO DEL MÍO,observaciones
8950,11,CHOPPED DE PAVO DEL MIO,"gluten, lactosa, observaciones"
MC01,11,MORCILLA DE CEBOLLA DEL MÍO,"cod_barras, gluten, lactosa, observaciones"
MC02,11,MORCILLA ASTIGITANA DEL MIO,"cod_barras, gluten, lactosa, observaciones"
SP01,12,SALCHICHAS AVE MINI DEL MIO,"cod_barras, gluten, lactosa, observaciones"
025418,12,CHOPPED PORK CAMPOFRIO 3 KG C/2U,"gluten, lactosa, observaciones"
025420,12,"MORTADELA CLAS. CAMPOFRIO 3,5 KG. C/2U","gluten, lactosa, observaciones"
025433,13,LUNCH 3 KG CAMPOFRIO C/2U,"gluten, lactosa, observaciones"
028012,13,CHOPPED PORK CAMPOFRIO 330G C/15U,"gluten, lactosa, observaciones"
212,13,FIAMBRE PALETA HORNO CAMPOFRIO C/2U,"gluten, lactosa, observaciones"
26644,14,MORTADELA CLAS. CAMPOFRIO 330G C/15U,"gluten, lactosa, observaciones"
2736,14,SALCHICHAS FRAN. CAMPOFRIO 4 PACK C/12U,"gluten, lactosa, observaciones"
3286,14,CENTRO DE JAMON NAVIDUL C/2 U,"gluten, lactosa, observaciones"
6803,15,CHOPPED CERDO ESP. 350 GRS.CRISMONA,"gluten, lactosa, observaciones"
6803,15,CHOPPED CERDO ESP. 350 GRS.CRISMONA,"gluten, lactosa, observaciones"
6803,15,CHOPPED CERDO ESP. 350 GRS.CRISMONA,"gluten, lactosa, observaciones"
6804,16,"CHOPPED CERDO ESP. 1,7 KG.CRISMONA","gluten, lactosa, observaciones"
6812,16,SALCHICHAS 5 PARES CRISMONA,"gluten, lactosa, observaciones"
4100,16,ZURRAPA DE LOMO BLANCA 500 GM.,"cod_barras, gluten, lactosa, observaciones"
4101,17,ZURRAPA DE LOMO COLORA 500 GM.,"cod_barras, gluten, lactosa, observaciones"
0005825,17,JAMON COCIDO EN SU JUGO EL POZO,"cod_barras, observaciones"
10002,18,"HARINA FREIR 5 KG. CUBO ""ESPIGA REAL""","gluten, lactosa, observaciones"
500203,18,UNIDAD PANCETA IBERICA TACOS,"gluten, lactosa, observaciones"
53100P,18,LACON COCIDO Y AHUMADO EXTRA,"cod_barras, gluten, lactosa, observaciones"
6710,19,HAMBURGUESAS CONG.(6KILOS) FRIMANCHA,"gluten, lactosa, observaciones"
1100,20,HOT DOG DE POLLO,observaciones
1106,20,SALCHICHAS DE POLLO MINI 400GM,observaciones
3900,20,VIOLINES C/ 8 PACK 4 UD.CARLOS III,"gluten, lactosa, observaciones"
3901,21,OCHITOS C/ 8 PACK 4 UDS.HORNO CARLOS III,"gluten, lactosa, observaciones"
3909,21,"SACO DE ROSQUILLAS DE 7,5 KG.","cod_barras, gluten, lactosa, observaciones"
3911,21,INTEGRALES VIOLINES C/ 8 PACK 4 U.HORNO CARLOS III,"gluten, lactosa, observaciones"
OF3900,22,SIN CARGO VIOLINES C/ 8 PACK 4 UDS.H. CARLOS III,"cod_barras, gluten, lactosa, observaciones"
CM01,22,MEMBRILLO CREMA EXTRA 3.750KG.,"cod_barras, gluten, lactosa, observaciones"
CM02,22,"MEMBRILLO SIN AZUCAR 3,750 KG","gluten, lactosa, observaciones"
CM03,23,CREMA MEMBRILLO 900GR 8/UC CON FRUCTOSA,"gluten, lactosa, observaciones"
CM05,23,"MEMBRILLO CASERO LA ABUELA FILO 3,75 KG NETO","cod_barras, gluten, lactosa, observaciones"
CM07,23,LATA MLLO CON FRUCTOSA 300GR 12/C,"gluten, lactosa, observaciones"
CMP1,24,CREMA DE MEMBRILLO 40GM. 98/UN,"cod_barras, gluten, lactosa, observaciones"
