producto_id,codigo,descripcion,marca,primary_category,subcategory,tags,category_aliases,display_order,classification_status,classification_source,classification_reviewed_by,motivo
0001#1.1,0001,PELLA AÑEJA DEL MIO,DEL MIO,otros,,marca,,1,pending_review,sin_regla,,ninguna regla reconoce esta descripción
0003#1.2,0003,PIEL DE POLLO,DEL MIO,otros,,marca|pollo|sin_lactosa,,2,pending_review,sin_regla,,ninguna regla reconoce esta descripción
0052#1.3,0052,"CHORIZO PINCHO 1,5 KG APROX. DEL MIO",DEL MIO,embutidos_curados,chorizo,cerdo|marca,,3,auto_confirmado,regla:\bchorizo\b,,regla inequívoca
0053#2.1,0053,CHORIZO PICANTE HRA. DEL MÍO,DEL MIO,embutidos_curados,chorizo,cerdo|marca|picante,,4,auto_confirmado,regla:\bchorizo\b,,regla inequívoca
0072#2.2,0072,1/2 CAÑA DE LOMO REDONDA DEL MIO,DEL MIO,embutidos_curados,lomo,cerdo|marca,,5,auto_confirmado,regla:\bcaña de lomo\b|\bcana de lomo\b,,regla inequívoca
0449#2.3,0449,EMBUTIDO DE POLLO DEL MIO,DEL MIO,embutidos_curados,,marca|pollo,,6,pending_review,regla:\bembutido\b,,señal débil: conviene confirmarlo
1240#3.1,1240,HUESOS DE QUIJADA IBERICO,DEL MIO,otros,,iberico|marca,,7,pending_review,sin_regla,,ninguna regla reconoce esta descripción
1241#3.2,1241,HUESOS DE TESTUZO IBERICO,DEL MIO,otros,,iberico|marca,,8,pending_review,sin_regla,,ninguna regla reconoce esta descripción
2003#3.3,2003,1/2 FBRE. LOMO CDO. ADB. C/2P DEL MIO,DEL MIO,jamones_fiambres_cocidos,fiambre,cerdo|marca,,9,auto_confirmado,regla:\bfiambre\b|\bfbre\b,,regla inequívoca
2003#4.1,2003,1/2 FBRE. LOMO CDO. ADB. C/2P DEL MIO,DEL MIO,jamones_fiambres_cocidos,fiambre,cerdo|marca,,10,auto_confirmado,regla:\bfiambre\b|\bfbre\b,,regla inequívoca
21446#4.2,21446,SALAMI EXTRA BLANCO,DEL MIO,embutidos_curados,salami,marca,,11,auto_confirmado,regla:\bsalami\b,,regla inequívoca
21446#4.3,21446,SALAMI EXTRA BLANCO,DEL MIO,embutidos_curados,salami,marca,,12,auto_confirmado,regla:\bsalami\b,,regla inequívoca
3047#5.1,3047,LOTE: 3047,DEL MIO,otros,,marca,,13,pending_review,sin_regla,,ninguna regla reconoce esta descripción
4315#5.2,4315,SALCHICHON CASERO PRIMERA,DEL MIO,embutidos_curados,salchichon,cerdo|marca,,14,auto_confirmado,regla:\bsalchichon\b,,regla inequívoca
4316#5.3,4316,CHORIZO ROSARIO OREADO DEL MÍO,DEL MIO,embutidos_curados,chorizo,cerdo|marca,,15,auto_confirmado,regla:\bchorizo\b,,regla inequívoca
4998#6.1,4998,VIOLINES 8 PACK DE 4 UN DEL MIO,DEL MIO,panaderia,violines,marca,,16,auto_confirmado,regla:\bviolines?\b,,regla inequívoca
50537#6.2,50537,1/2 SALCHICHON TUNEL PMTA. PROLONGO,DEL MIO,embutidos_curados,salchichon,cerdo|marca,,17,auto_confirmado,regla:\bsalchichon\b,,regla inequívoca
5076#6.3,5076,SALCHICHON DE AJO PROLONGO,DEL MIO,embutidos_curados,salchichon,cerdo|marca,,18,auto_confirmado,regla:\bsalchichon\b,,regla inequívoca
5811#7.1,5811,SALCHICHON EXTRA DE PAVO DEL MIO,DEL MIO,embutidos_curados,salchichon,cerdo|marca|pavo,,19,auto_confirmado,regla:\bsalchichon\b,,regla inequívoca
5812#7.2,5812,CHORIZO EXTRA DE PAVO DEL MIO,DEL MIO,embutidos_curados,chorizo,cerdo|marca|pavo,,20,auto_confirmado,regla:\bchorizo\b,,regla inequívoca
5814#7.3,5814,SALCHICHON VELA EXTRA AL VACIO DEL MÍO,DEL MIO,embutidos_curados,salchichon,cerdo|marca,,21,auto_confirmado,regla:\bsalchichon\b,,regla inequívoca
6701#8.1,6701,FIAMBRE MAGRETA CDA. ADOBADA DEL MIO,DEL MIO,jamones_fiambres_cocidos,fiambre,marca,,22,auto_confirmado,regla:\bfiambre\b|\bfbre\b,,regla inequívoca
6702#8.2,6702,FIAMBRE MAGRETA CDA. BLANCA DEL MIO,DEL MIO,jamones_fiambres_cocidos,fiambre,marca,,23,auto_confirmado,regla:\bfiambre\b|\bfbre\b,,regla inequívoca
6703#8.3,6703,BACON MOLDE MEDIOS DEL MIO,DEL MIO,jamones_fiambres_cocidos,bacon,cerdo|marca,,24,auto_confirmado,regla:\bbacon\b,,regla inequívoca
6703#9.1,6703,BACON MOLDE MEDIOS DEL MIO,DEL MIO,jamones_fiambres_cocidos,bacon,cerdo|marca,,25,auto_confirmado,regla:\bbacon\b,,regla inequívoca
6711#9.2,6711,"CODILLOS BLANCOS ""DEL MIO""",DEL MIO,jamones_fiambres_cocidos,codillo,cerdo|marca,,26,pending_review,regla:\bcodillos?\b,,señal débil: conviene confirmarlo
6712#9.3,6712,"AÑEJO LOMITO CORTADO ""DEL MIO""",DEL MIO,embutidos_curados,lomo,marca,,27,auto_confirmado,regla:\blomito\b,,regla inequívoca
6713#10.1,6713,"CORTEZA AÑEJA CORT. FINO ""DEL MIO""",DEL MIO,otros,,marca,,28,pending_review,sin_regla,,ninguna regla reconoce esta descripción
6890#10.2,6890,CHORIZO EXTRA ROJO VELA AL VACIO DEL MIO,DEL MIO,embutidos_curados,chorizo,cerdo|marca,,29,auto_confirmado,regla:\bchorizo\b,,regla inequívoca
6891#10.3,6891,CHORIZO EXTRA BLANCO VELA AL VACIO DEL MÍO,DEL MIO,embutidos_curados,chorizo,cerdo|marca,,30,auto_confirmado,regla:\bchorizo\b,,regla inequívoca
8950#11.1,8950,CHOPPED DE PAVO DEL MIO,DEL MIO,jamones_fiambres_cocidos,chopped,cerdo|marca|pavo,,31,auto_confirmado,regla:\bchopped\b,,regla inequívoca
MC01#11.2,MC01,MORCILLA DE CEBOLLA DEL MÍO,DEL MIO,salchichas_morcillas_preparados,morcilla,cerdo|marca,,32,auto_confirmado,regla:\bmorcilla\b,,regla inequívoca
MC02#11.3,MC02,MORCILLA ASTIGITANA DEL MIO,DEL MIO,salchichas_morcillas_preparados,morcilla,cerdo|marca,,33,auto_confirmado,regla:\bmorcilla\b,,regla inequívoca
SP01#12.1,SP01,SALCHICHAS AVE MINI DEL MIO,DEL MIO,salchichas_morcillas_preparados,salchichas,marca|pollo,,34,auto_confirmado,regla:\bsalchichas\b,,regla inequívoca
025418#12.2,025418,CHOPPED PORK CAMPOFRIO 3 KG C/2U,CAMPOFRIO,jamones_fiambres_cocidos,chopped,cerdo|marca,,35,auto_confirmado,regla:\bchopped\b,,regla inequívoca
025420#12.3,025420,"MORTADELA CLAS. CAMPOFRIO 3,5 KG. C/2U",CAMPOFRIO,jamones_fiambres_cocidos,mortadela,marca,,36,auto_confirmado,regla:\bmortadela\b,,regla inequívoca
025433#13.1,025433,LUNCH 3 KG CAMPOFRIO C/2U,CAMPOFRIO,jamones_fiambres_cocidos,lunch,marca,,37,auto_confirmado,regla:\blunch\b,,regla inequívoca
028012#13.2,028012,CHOPPED PORK CAMPOFRIO 330G C/15U,CAMPOFRIO,jamones_fiambres_cocidos,chopped,cerdo|marca,,38,auto_confirmado,regla:\bchopped\b,,regla inequívoca
212#13.3,212,FIAMBRE PALETA HORNO CAMPOFRIO C/2U,CAMPOFRIO,jamones_fiambres_cocidos,fiambre,marca,,39,auto_confirmado,regla:\bfiambre\b|\bfbre\b,,regla inequívoca
26644#14.1,26644,MORTADELA CLAS. CAMPOFRIO 330G C/15U,CAMPOFRIO,jamones_fiambres_cocidos,mortadela,marca,,40,auto_confirmado,regla:\bmortadela\b,,regla inequívoca
2736#14.2,2736,SALCHICHAS FRAN. CAMPOFRIO 4 PACK C/12U,CAMPOFRIO,salchichas_morcillas_preparados,salchichas,marca,,41,auto_confirmado,regla:\bsalchichas\b,,regla inequívoca
3286#14.3,3286,CENTRO DE JAMON NAVIDUL C/2 U,CAMPOFRIO,jamones_fiambres_cocidos,jamon,cerdo|marca,,42,pending_review,regla:\bcentro de jamon\b|\bcentro jamon\b,,señal débil: conviene confirmarlo
