codigo,registros,tarifas,paginas,otros_campos_que_difieren,descripcion
2003,2,4.167 | 5.278,3 4,(solo la tarifa),1/2 FBRE. LOMO CDO. ADB. C/2P DEL MIO
21446,2,5.417 | 6.528,4 4,(solo la tarifa),SALAMI EXTRA BLANCO
30101,2,19.8 | 23.294,24 24,(solo la tarifa),FILETES DE CABALLA A/G 1800 C/ 6
30201,2,5.101 | 6.0,25 25,(solo la tarifa),FILETES DE CABALLA A/G 250 C/24 PACK6PZAS
30301,2,7.149 | 7.946,25 26,(solo la tarifa),FILETES CABALLA RO 550 C/24 A/G
30501,2,1.817 | 2.471,26 26,(solo la tarifa),FTES. CABALLA 125G. 50 U.C/ 5 PZAS RETR.
30701,2,11.796 | 13.882,27 27,(solo la tarifa),FILETES DE CABALLA A/G 1000 C/ 12
3502,2,4.514 | 4.86,34 35,(solo la tarifa),BARRA LUNCH 1.3 KG.PAMPLONICA
5000,2,0.633 | 1.278,37 38,(solo la tarifa),CHURROS CONG.450GM. RICARTE
5100,2,23.118 | 27.941,27 28,(solo la tarifa),MELVA 1800 FILETE DE ALMADRABA RO C/6
5102,2,17.034 | 20.588,28 28,(solo la tarifa),MELVA FILETE DE ALMADRABA 1000 C/ 12
6302,2,21.0 | 50.694,29 29,(solo la tarifa),LOMITO IBERICO BELLOTA *MARCIAL*
6303,2,21.0 | 50.0,30 30,(solo la tarifa),LOMO PLATA CEBO CAMPO 50% *MARCIAL*
6304,3,7.81 | 12.5 | 13.889,30 31 31,(solo la tarifa),SALCHICHON CULAR PLATA IB. *MARCIAL*
6305,3,7.81 | 12.5 | 13.889,31 32 32,(solo la tarifa),CHORIZO CULAR PLATA IB. *MARCIAL*
6703,2,6.112 | 7.083,8 9,(solo la tarifa),BACON MOLDE MEDIOS DEL MIO
6803,3,1.257 | 2.367 | 2.74,15 15 15,(solo la tarifa),CHOPPED CERDO ESP. 350 GRS.CRISMONA
7001,2,23.125 | 24.306,33 34,(solo la tarifa),QUESO CURADO OCAÑA
8003,2,14.097 | 16.875,35 36,(solo la tarifa),"QUESO ""EL HIDALGO"" ACEITE GRANDE"
