id,title,description,availability,condition,image_link,link,brand,product_type,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4
0001,Pella Añeja Del Mio,"Se utiliza para caldos, potenciando el sabor. Familia: Otros productos. Caja de 1 unidad. Peso aproximado por unidad: 5 kg. Tarifa 1: 3,403 €/kg, sin IVA. Se cobra por kilo: el importe final se ajusta al peso real preparado. Puedes pedirlo por cajas o por unidades.",in stock,new,https://www.thehagentic.com/api/chacon/imagen?p=0001%231.1,https://www.thehagentic.com/api/chacon/producto?codigo=0001,DEL MIO,Otros productos,Tarifa 1,1,5,,tarifa_1_validada
0003,Piel De Pollo — Del Mio,"PARA HACER CALDO CON POCA GRASA¡¡ Familia: Otros productos. Caja de 1 unidad. Peso aproximado por unidad: 5 kg. Tarifa 1: 3,972 €/kg, sin IVA. Se cobra por kilo: el importe final se ajusta al peso real preparado. Puedes pedirlo por cajas o por unidades.",in stock,new,https://www.thehagentic.com/api/chacon/imagen?p=0003%231.2,https://www.thehagentic.com/api/chacon/producto?codigo=0003,DEL MIO,Otros productos,Tarifa 1,1,5,,tarifa_1_validada
0052,"Chorizo Pincho 1,5 Kg Aprox. Del Mio","Especial para plancha y barbacoas. Familia: Embutidos curados. Caja de 1 unidad. Peso aproximado por unidad: 3 kg. Tarifa 1: 8,194 €/kg, sin IVA. Se cobra por kilo: el importe final se ajusta al peso real preparado. Puedes pedirlo por cajas o por unidades.",in stock,new,https://www.thehagentic.com/api/chacon/imagen?p=0052%231.3,https://www.thehagentic.com/api/chacon/producto?codigo=0052,DEL MIO,Embutidos curados,Tarifa 1,1,3,chorizo,tarifa_1_validada
0053,Chorizo Picante Herradura Del Mío — Del Mio,"Picante suave, poca grasa. Familia: Embutidos curados. Caja de 1 unidad. Peso aproximado por unidad: 3 kg. Tarifa 1: 8,264 €/kg, sin IVA. Se cobra por kilo: el importe final se ajusta al peso real preparado. Puedes pedirlo por cajas o por unidades.",in stock,new,https://www.thehagentic.com/api/chacon/imagen?p=0053%232.1,https://www.thehagentic.com/api/chacon/producto?codigo=0053,DEL MIO,Embutidos curados,Tarifa 1,1,3,chorizo,tarifa_1_validada
0072,1/2 Caña De Lomo Redonda Del Mio,"Familia: Embutidos curados. Caja de 8 unidades. Peso aproximado por unidad: 0,8 kg. Tarifa 1: 14,931 €/kg, sin IVA. Se cobra por kilo: el importe final se ajusta al peso real preparado. Puedes pedirlo por cajas o por unidades.",in stock,new,https://www.thehagentic.com/api/chacon/imagen?p=0072%232.2,https://www.thehagentic.com/api/chacon/producto?codigo=0072,DEL MIO,Embutidos curados,Tarifa 1,8,0.8,lomo,tarifa_1_validada
0449,Embutido De Pollo Del Mio,"Rico en guisos y a la plancha. Familia: Otros productos. Caja de 1 unidad. Peso aproximado por unidad: 0,4 kg. Tarifa 1: 8,625 €/kg, sin IVA. Se cobra por kilo: el importe final se ajusta al peso real preparado. Puedes pedirlo por cajas o por unidades.",in stock,new,https://www.thehagentic.com/api/chacon/imagen?p=0449%232.3,https://www.thehagentic.com/api/chacon/producto?codigo=0449,DEL MIO,Otros productos,Tarifa 1,1,0.4,,tarifa_1_validada
1240,Huesos De Quijada Iberico — Del Mio,"Para hacer caldo con sabor iberico. Familia: Otros productos. Caja de 1 unidad. Peso aproximado por unidad: 5 kg. Tarifa 1: 4,167 €/kg, sin IVA. Se cobra por kilo: el importe final se ajusta al peso real preparado. Puedes pedirlo por cajas o por unidades.",in stock,new,https://www.thehagentic.com/api/chacon/imagen?p=1240%233.1,https://www.thehagentic.com/api/chacon/producto?codigo=1240,DEL MIO,Otros productos,Tarifa 1,1,5,,tarifa_1_validada
1241,Huesos De Testuzo Iberico — Del Mio,"Para hacer caldo con sabor iberico. Familia: Otros productos. Caja de 1 unidad. Peso aproximado por unidad: 5 kg. Tarifa 1: 4,249 €/kg, sin IVA. Se cobra por kilo: el importe final se ajusta al peso real preparado. Puedes pedirlo por cajas o por unidades.",in stock,new,https://www.thehagentic.com/api/chacon/imagen?p=1241%233.2,https://www.thehagentic.com/api/chacon/producto?codigo=1241,DEL MIO,Otros productos,Tarifa 1,1,5,,tarifa_1_validada
2003,1/2 Fiambre Lomo Cocido Adobado C/2P Del Mio,"Familia: Jamones, fiambres y cocidos. Caja de 2 unidades. Peso aproximado por unidad: 3 kg. Precio pendiente de confirmar por Chacón Alcántara. Se cobra por kilo: el importe final se ajusta al peso real preparado. Puedes pedirlo por cajas o por unidades.",in stock,new,https://www.thehagentic.com/api/chacon/imagen?p=2003%233.3,https://www.thehagentic.com/api/chacon/producto?codigo=2003,DEL MIO,"Jamones, fiambres y cocidos",Tarifa 1,2,3,fiambre,precio_pendiente
21446,Salami Extra Blanco — Del Mio,"Familia: Embutidos curados. Caja de 2 unidades. Peso aproximado por unidad: 1,85 kg. Precio pendiente de confirmar por Chacón Alcántara. Se cobra por kilo: el importe final se ajusta al peso real preparado. Puedes pedirlo por cajas o por unidades.",in stock,new,https://www.thehagentic.com/api/chacon/imagen?p=21446%234.2,https://www.thehagentic.com/api/chacon/producto?codigo=21446,DEL MIO,Embutidos curados,Tarifa 1,2,1.85,salami,precio_pendiente
3047,Lote: 3047 — Del Mio,"Familia: Otros productos. Caja de 1 unidad. Tarifa 1: 90,0 €/kg, sin IVA. Se cobra por kilo: el importe final se ajusta al peso real preparado. Puedes pedirlo por cajas o por unidades.",in stock,new,https://www.thehagentic.com/api/chacon/imagen?p=3047%235.1,https://www.thehagentic.com/api/chacon/producto?codigo=3047,DEL MIO,Otros productos,Tarifa 1,1,,,tarifa_1_validada
4315,Salchichon Casero Primera — Del Mio,"Familia: Embutidos curados. Caja de 6 unidades. Peso aproximado por unidad: 0,33 kg. Tarifa 1: 2,888 €/kg, sin IVA. Se cobra por kilo: el importe final se ajusta al peso real preparado. Puedes pedirlo por cajas o por unidades.",in stock,new,https://www.thehagentic.com/api/chacon/imagen?p=4315%235.2,https://www.thehagentic.com/api/chacon/producto?codigo=4315,DEL MIO,Embutidos curados,Tarifa 1,6,0.33,salchichon,tarifa_1_validada
4316,Chorizo Rosario Oreado Del Mío — Del Mio,"Familia: Embutidos curados. Caja de 1 unidad. Tarifa 1: 7,847 €/kg, sin IVA. Se cobra por kilo: el importe final se ajusta al peso real preparado. Puedes pedirlo por cajas o por unidades.",in stock,new,https://www.thehagentic.com/api/chacon/imagen?p=4316%235.3,https://www.thehagentic.com/api/chacon/producto?codigo=4316,DEL MIO,Embutidos curados,Tarifa 1,1,,chorizo,tarifa_1_validada
4998,Violines 8 Pack De 4 Un Del Mio,"Familia: Panadería. Caja de 8 unidades. Peso aproximado por unidad: 0,4 kg. Tarifa 1: 11,734 €/kg, sin IVA. Se cobra por kilo: el importe final se ajusta al peso real preparado. Puedes pedirlo por cajas o por unidades.",in stock,new,https://www.thehagentic.com/api/chacon/imagen?p=4998%236.1,https://www.thehagentic.com/api/chacon/producto?codigo=4998,DEL MIO,Panadería,Tarifa 1,8,0.4,violines,tarifa_1_validada
50537,1/2 Salchichon Tunel Pimienta Prolongo — Del Mio,"Familia: Embutidos curados. Caja de 2 unidades. Peso aproximado por unidad: 2,15 kg. Tarifa 1: 10,0 €/kg, sin IVA. Se cobra por kilo: el importe final se ajusta al peso real preparado. Puedes pedirlo por cajas o por unidades.",in stock,new,https://www.thehagentic.com/api/chacon/imagen?p=50537%236.2,https://www.thehagentic.com/api/chacon/producto?codigo=50537,DEL MIO,Embutidos curados,Tarifa 1,2,2.15,salchichon,tarifa_1_validada
5076,Salchichon De Ajo Prolongo — Del Mio,"Familia: Embutidos curados. Caja de 3 unidades. Peso aproximado por unidad: 1,5 kg. Tarifa 1: 5,678 €/kg, sin IVA. Se cobra por kilo: el importe final se ajusta al peso real preparado. Puedes pedirlo por cajas o por unidades.",in stock,new,https://www.thehagentic.com/api/chacon/imagen?p=5076%236.3,https://www.thehagentic.com/api/chacon/producto?codigo=5076,DEL MIO,Embutidos curados,Tarifa 1,3,1.5,salchichon,tarifa_1_validada
5811,Salchichon Extra De Pavo Del Mio,"PARA UNA DIETA SANA¡¡ Familia: Embutidos curados. Caja de 4 unidades. Peso aproximado por unidad: 1,5 kg. Tarifa 1: 11,944 €/kg, sin IVA. Se cobra por kilo: el importe final se ajusta al peso real preparado. Puedes pedirlo por cajas o por unidades.",in stock,new,https://www.thehagentic.com/api/chacon/imagen?p=5811%237.1,https://www.thehagentic.com/api/chacon/producto?codigo=5811,DEL MIO,Embutidos curados,Tarifa 1,4,1.5,salchichon,tarifa_1_validada
5812,Chorizo Extra De Pavo Del Mio,"PARA UNA DIETA SANA¡¡ Familia: Embutidos curados. Caja de 4 unidades. Peso aproximado por unidad: 1,5 kg. Tarifa 1: 11,944 €/kg, sin IVA. Se cobra por kilo: el importe final se ajusta al peso real preparado. Puedes pedirlo por cajas o por unidades.",in stock,new,https://www.thehagentic.com/api/chacon/imagen?p=5812%237.2,https://www.thehagentic.com/api/chacon/producto?codigo=5812,DEL MIO,Embutidos curados,Tarifa 1,4,1.5,chorizo,tarifa_1_validada
5814,Salchichon Vela Extra Al Vacio Del Mío — Del Mio,"SABOR AUTENTICO( contiene soja) Familia: Embutidos curados. Caja de 4 unidades. Peso aproximado por unidad: 1,5 kg. Tarifa 1: 7,917 €/kg, sin IVA. Se cobra por kilo: el importe final se ajusta al peso real preparado. Puedes pedirlo por cajas o por unidades.",in stock,new,https://www.thehagentic.com/api/chacon/imagen?p=5814%237.3,https://www.thehagentic.com/api/chacon/producto?codigo=5814,DEL MIO,Embutidos curados,Tarifa 1,4,1.5,salchichon,tarifa_1_validada
6701,Fiambre Magreta Cda. Adobada Del Mio,"Familia: Jamones, fiambres y cocidos. Caja de 2 unidades. Peso aproximado por unidad: 3 kg. Tarifa 1: 5,694 €/kg, sin IVA. Se cobra por kilo: el importe final se ajusta al peso real preparado. Puedes pedirlo por cajas o por unidades.",in stock,new,https://www.thehagentic.com/api/chacon/imagen?p=6701%238.1,https://www.thehagentic.com/api/chacon/producto?codigo=6701,DEL MIO,"Jamones, fiambres y cocidos",Tarifa 1,2,3,fiambre,tarifa_1_validada
6702,Fiambre Magreta Cda. Blanca Del Mio,"Familia: Jamones, fiambres y cocidos. Caja de 2 unidades. Peso aproximado por unidad: 3 kg. Tarifa 1: 5,694 €/kg, sin IVA. Se cobra por kilo: el importe final se ajusta al peso real preparado. Puedes pedirlo por cajas o por unidades.",in stock,new,https://www.thehagentic.com/api/chacon/imagen?p=6702%238.2,https://www.thehagentic.com/api/chacon/producto?codigo=6702,DEL MIO,"Jamones, fiambres y cocidos",Tarifa 1,2,3,fiambre,tarifa_1_validada
6703,Bacon Molde Medios Del Mio,"Familia: Jamones, fiambres y cocidos. Caja de 6 unidades. Peso aproximado por unidad: 2 kg. Precio pendiente de confirmar por Chacón Alcántara. Se cobra por kilo: el importe final se ajusta al peso real preparado. Puedes pedirlo por cajas o por unidades.",in stock,new,https://www.thehagentic.com/api/chacon/imagen?p=6703%238.3,https://www.thehagentic.com/api/chacon/producto?codigo=6703,DEL MIO,"Jamones, fiambres y cocidos",Tarifa 1,6,2,bacon,precio_pendiente
6711,"Codillos Blancos ""Del Mio""","Familia: Otros productos. Caja de 1 unidad. Peso aproximado por unidad: 1 kg. Tarifa 1: 2,334 €/kg, sin IVA. Se cobra por kilo: el importe final se ajusta al peso real preparado. Puedes pedirlo por cajas o por unidades.",in stock,new,https://www.thehagentic.com/api/chacon/imagen?p=6711%239.2,https://www.thehagentic.com/api/chacon/producto?codigo=6711,DEL MIO,Otros productos,Tarifa 1,1,1,codillo,tarifa_1_validada
6890,Chorizo Extra Rojo Vela Al Vacio Del Mio,"Familia: Embutidos curados. Caja de 4 unidades. Peso aproximado por unidad: 1,4 kg. Tarifa 1: 8,194 €/kg, sin IVA. Se cobra por kilo: el importe final se ajusta al peso real preparado. Puedes pedirlo por cajas o por unidades.",in stock,new,https://www.thehagentic.com/api/chacon/imagen?p=6890%2310.2,https://www.thehagentic.com/api/chacon/producto?codigo=6890,DEL MIO,Embutidos curados,Tarifa 1,4,1.4,chorizo,tarifa_1_validada
6891,Chorizo Extra Blanco Vela Al Vacio Del Mío — Del Mio,"Familia: Embutidos curados. Caja de 2 unidades. Peso aproximado por unidad: 2 kg. Tarifa 1: 8,542 €/kg, sin IVA. Se cobra por kilo: el importe final se ajusta al peso real preparado. Puedes pedirlo por cajas o por unidades.",in stock,new,https://www.thehagentic.com/api/chacon/imagen?p=6891%2310.3,https://www.thehagentic.com/api/chacon/producto?codigo=6891,DEL MIO,Embutidos curados,Tarifa 1,2,2,chorizo,tarifa_1_validada
8950,Chopped De Pavo Del Mio,"Familia: Jamones, fiambres y cocidos. Caja de 2 unidades. Peso aproximado por unidad: 3,5 kg. Tarifa 1: 7,792 €/kg, sin IVA. Se cobra por kilo: el importe final se ajusta al peso real preparado. Puedes pedirlo por cajas o por unidades.",in stock,new,https://www.thehagentic.com/api/chacon/imagen?p=8950%2311.1,https://www.thehagentic.com/api/chacon/producto?codigo=8950,DEL MIO,"Jamones, fiambres y cocidos",Tarifa 1,2,3.5,chopped,tarifa_1_validada
MC01,Morcilla De Cebolla Del Mío — Del Mio,"Familia: Salchichas, morcillas y preparados cárnicos. Caja de 1 unidad. Peso aproximado por unidad: 3 kg. Tarifa 1: 6,875 €/kg, sin IVA. Se cobra por kilo: el importe final se ajusta al peso real preparado. Puedes pedirlo por cajas o por unidades.",in stock,new,https://www.thehagentic.com/api/chacon/imagen?p=MC01%2311.2,https://www.thehagentic.com/api/chacon/producto?codigo=MC01,DEL MIO,"Salchichas, morcillas y preparados cárnicos",Tarifa 1,1,3,morcilla,tarifa_1_validada
MC02,Morcilla Astigitana Del Mio,"Familia: Salchichas, morcillas y preparados cárnicos. Caja de 2 unidades. Peso aproximado por unidad: 3 kg. Tarifa 1: 3,718 €/kg, sin IVA. Se cobra por kilo: el importe final se ajusta al peso real preparado. Puedes pedirlo por cajas o por unidades.",in stock,new,https://www.thehagentic.com/api/chacon/imagen?p=MC02%2311.3,https://www.thehagentic.com/api/chacon/producto?codigo=MC02,DEL MIO,"Salchichas, morcillas y preparados cárnicos",Tarifa 1,2,3,morcilla,tarifa_1_validada
SP01,Salchichas Ave Mini Del Mio,"Familia: Salchichas, morcillas y preparados cárnicos. Caja de 1 unidad. Peso aproximado por unidad: 2 kg. Tarifa 1: 7,722 €/kg, sin IVA. Se cobra por kilo: el importe final se ajusta al peso real preparado. Puedes pedirlo por cajas o por unidades.",in stock,new,https://www.thehagentic.com/api/chacon/imagen?p=SP01%2312.1,https://www.thehagentic.com/api/chacon/producto?codigo=SP01,DEL MIO,"Salchichas, morcillas y preparados cárnicos",Tarifa 1,1,2,salchichas,tarifa_1_validada
025418,Chopped Pork Campofrio 3 Kg C/2U,"Familia: Jamones, fiambres y cocidos. Caja de 2 unidades. Peso aproximado por unidad: 3 kg. Tarifa 1: 5,431 €/kg, sin IVA. Se cobra por kilo: el importe final se ajusta al peso real preparado. Puedes pedirlo por cajas o por unidades.",in stock,new,https://www.thehagentic.com/api/chacon/imagen?p=025418%2312.2,https://www.thehagentic.com/api/chacon/producto?codigo=025418,CAMPOFRIO,"Jamones, fiambres y cocidos",Tarifa 1,2,3,chopped,tarifa_1_validada
025420,"Mortadela Clásica Campofrio 3,5 Kg. C/2U","Familia: Jamones, fiambres y cocidos. Caja de 2 unidades. Peso aproximado por unidad: 3,5 kg. Tarifa 1: 5,431 €/kg, sin IVA. Se cobra por kilo: el importe final se ajusta al peso real preparado. Puedes pedirlo por cajas o por unidades.",in stock,new,https://www.thehagentic.com/api/chacon/imagen?p=025420%2312.3,https://www.thehagentic.com/api/chacon/producto?codigo=025420,CAMPOFRIO,"Jamones, fiambres y cocidos",Tarifa 1,2,3.5,mortadela,tarifa_1_validada
025433,Lunch 3 Kg Campofrio C/2U,"Familia: Jamones, fiambres y cocidos. Caja de 2 unidades. Peso aproximado por unidad: 3 kg. Tarifa 1: 5,653 €/kg, sin IVA. Se cobra por kilo: el importe final se ajusta al peso real preparado. Puedes pedirlo por cajas o por unidades.",in stock,new,https://www.thehagentic.com/api/chacon/imagen?p=025433%2313.1,https://www.thehagentic.com/api/chacon/producto?codigo=025433,CAMPOFRIO,"Jamones, fiambres y cocidos",Tarifa 1,2,3,lunch,tarifa_1_validada
028012,Chopped Pork Campofrio 330G C/15U,"Familia: Jamones, fiambres y cocidos. Caja de 15 unidades. Peso aproximado por unidad: 0,33 kg. Tarifa 1: 1,538 €/kg, sin IVA. Se cobra por kilo: el importe final se ajusta al peso real preparado. Puedes pedirlo por cajas o por unidades.",in stock,new,https://www.thehagentic.com/api/chacon/imagen?p=028012%2313.2,https://www.thehagentic.com/api/chacon/producto?codigo=028012,CAMPOFRIO,"Jamones, fiambres y cocidos",Tarifa 1,15,0.33,chopped,tarifa_1_validada
212,Fiambre Paleta Horno Campofrio C/2U,"Familia: Jamones, fiambres y cocidos. Caja de 1 unidad. Peso aproximado por unidad: 4 kg. Tarifa 1: 9,028 €/kg, sin IVA. Se cobra por kilo: el importe final se ajusta al peso real preparado. Puedes pedirlo por cajas o por unidades.",in stock,new,https://www.thehagentic.com/api/chacon/imagen?p=212%2313.3,https://www.thehagentic.com/api/chacon/producto?codigo=212,CAMPOFRIO,"Jamones, fiambres y cocidos",Tarifa 1,1,4,fiambre,tarifa_1_validada
26644,Mortadela Clásica Campofrio 330G C/15U,"Familia: Jamones, fiambres y cocidos. Caja de 15 unidades. Peso aproximado por unidad: 0,33 kg. Tarifa 1: 1,538 €/kg, sin IVA. Se cobra por kilo: el importe final se ajusta al peso real preparado. Puedes pedirlo por cajas o por unidades.",in stock,new,https://www.thehagentic.com/api/chacon/imagen?p=26644%2314.1,https://www.thehagentic.com/api/chacon/producto?codigo=26644,CAMPOFRIO,"Jamones, fiambres y cocidos",Tarifa 1,15,0.33,mortadela,tarifa_1_validada
3286,Centro De Jamon Navidul C/2 U — Campofrio,"Familia: Otros productos. Caja de 2 unidades. Peso aproximado por unidad: 4,5 kg. Tarifa 1: 14,028 €/kg, sin IVA. Se cobra por kilo: el importe final se ajusta al peso real preparado. Puedes pedirlo por cajas o por unidades.",in stock,new,https://www.thehagentic.com/api/chacon/imagen?p=3286%2314.3,https://www.thehagentic.com/api/chacon/producto?codigo=3286,CAMPOFRIO,Otros productos,Tarifa 1,2,4.5,jamon,tarifa_1_validada
