codigo,tarifa,motivo,descripcion,pagina
OF3900,0.001,tarifa < 1 €; peso 0 o desconocido,SIN CARGO VIOLINES C/ 8 PACK 4 UDS.H. CARLOS III,22
CMP1,0.177,tarifa < 1 €,CREMA DE MEMBRILLO 40GM. 98/UN,24
5000,0.633,tarifa < 1 €; tarifas contradictorias,CHURROS CONG.450GM. RICARTE,37
6803,1.257,tarifas contradictorias,CHOPPED CERDO ESP. 350 GRS.CRISMONA,15
5000,1.278,tarifas contradictorias,CHURROS CONG.450GM. RICARTE,38
30501,1.817,tarifas contradictorias,FTES. CABALLA 125G. 50 U.C/ 5 PZAS RETR.,26
6803,2.367,tarifas contradictorias,CHOPPED CERDO ESP. 350 GRS.CRISMONA,15
30501,2.471,tarifas contradictorias,FTES. CABALLA 125G. 50 U.C/ 5 PZAS RETR.,26
6803,2.74,tarifas contradictorias,CHOPPED CERDO ESP. 350 GRS.CRISMONA,15
3909,2.847,peso 0 o desconocido,"SACO DE ROSQUILLAS DE 7,5 KG.",21
2003,4.167,tarifas contradictorias,1/2 FBRE. LOMO CDO. ADB. C/2P DEL MIO,4
3502,4.514,tarifas contradictorias,BARRA LUNCH 1.3 KG.PAMPLONICA,34
3502,4.86,tarifas contradictorias,BARRA LUNCH 1.3 KG.PAMPLONICA,35
30201,5.101,tarifas contradictorias,FILETES DE CABALLA A/G 250 C/24 PACK6PZAS,25
2003,5.278,tarifas contradictorias,1/2 FBRE. LOMO CDO. ADB. C/2P DEL MIO,3
21446,5.417,tarifas contradictorias,SALAMI EXTRA BLANCO,4
30201,6.0,tarifas contradictorias,FILETES DE CABALLA A/G 250 C/24 PACK6PZAS,25
6703,6.112,tarifas contradictorias,BACON MOLDE MEDIOS DEL MIO,8
21446,6.528,tarifas contradictorias,SALAMI EXTRA BLANCO,4
6703,7.083,tarifas contradictorias,BACON MOLDE MEDIOS DEL MIO,9
30301,7.149,tarifas contradictorias,FILETES CABALLA RO 550 C/24 A/G,25
6304,7.81,tarifas contradictorias,SALCHICHON CULAR PLATA IB. *MARCIAL*,31
6305,7.81,tarifas contradictorias,CHORIZO CULAR PLATA IB. *MARCIAL*,32
4316,7.847,peso 0 o desconocido,CHORIZO ROSARIO OREADO DEL MÍO,5
30301,7.946,tarifas contradictorias,FILETES CABALLA RO 550 C/24 A/G,26
6710,8.031,peso 0 o desconocido,HAMBURGUESAS CONG.(6KILOS) FRIMANCHA,19
53100P,8.333,peso 0 o desconocido,LACON COCIDO Y AHUMADO EXTRA,18
30701,11.796,tarifas contradictorias,FILETES DE CABALLA A/G 1000 C/ 12,27
6304,12.5,tarifas contradictorias,SALCHICHON CULAR PLATA IB. *MARCIAL*,31
6305,12.5,tarifas contradictorias,CHORIZO CULAR PLATA IB. *MARCIAL*,31
30701,13.882,tarifas contradictorias,FILETES DE CABALLA A/G 1000 C/ 12,27
6304,13.889,tarifas contradictorias,SALCHICHON CULAR PLATA IB. *MARCIAL*,30
6305,13.889,tarifas contradictorias,CHORIZO CULAR PLATA IB. *MARCIAL*,32
8003,14.097,tarifas contradictorias,"QUESO ""EL HIDALGO"" ACEITE GRANDE",36
8003,16.875,tarifas contradictorias,"QUESO ""EL HIDALGO"" ACEITE GRANDE",35
5102,17.034,tarifas contradictorias,MELVA FILETE DE ALMADRABA 1000 C/ 12,28
30101,19.8,tarifas contradictorias,FILETES DE CABALLA A/G 1800 C/ 6,24
5102,20.588,tarifas contradictorias,MELVA FILETE DE ALMADRABA 1000 C/ 12,28
6302,21.0,tarifas contradictorias,LOMITO IBERICO BELLOTA *MARCIAL*,29
6303,21.0,tarifas contradictorias,LOMO PLATA CEBO CAMPO 50% *MARCIAL*,30
5100,23.118,tarifas contradictorias,MELVA 1800 FILETE DE ALMADRABA RO C/6,28
7001,23.125,tarifas contradictorias,QUESO CURADO OCAÑA,33
30101,23.294,tarifas contradictorias,FILETES DE CABALLA A/G 1800 C/ 6,24
7001,24.306,tarifas contradictorias,QUESO CURADO OCAÑA,34
5100,27.941,tarifas contradictorias,MELVA 1800 FILETE DE ALMADRABA RO C/6,27
6303,50.0,tarifas contradictorias,LOMO PLATA CEBO CAMPO 50% *MARCIAL*,30
6302,50.694,tarifas contradictorias,LOMITO IBERICO BELLOTA *MARCIAL*,29
3047,90.0,tarifa > 60 €; peso 0 o desconocido,LOTE: 3047,5
